Tweet Id,Text,Name,Screen Name,Created At,Favorites,Retweets,Language,Client,Tweet Type,Media Type,URLs,Hashtags,Mentions
1185603727861915648,"Nancy Pelosi only cares about her witch hunt, not working for the American people.

It’s time for Pelosi to put the #USMCA to a vote instead of pushing her political vendetta against @realDonaldTrump!
https://t.co/SQPM1OOsIg",Donald J. Trump,realDonaldTrump,Sat Oct 19 17:08:50 +0000 2019,0,6933,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,1,1,1
1185603997710897160,"NO MORE VOTER FRAUD: @JudicialWatch President @TomFitton announces 1.59 million ineligible voters to be removed from California registration rolls.

Watch the full video: https://t.co/NGqolszbr1 https://t.co/PTXAhPqCVR",Donald J. Trump,realDonaldTrump,Sat Oct 19 17:09:55 +0000 2019,0,8354,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,Video,1,0,2
1185606620962840577,"Here is a LONG and rather revealing interview I did w/@KatrinaTrinko at the @Heritage Foundation's @DailySignal podcast! As you can tell, I enjoyed it! https://t.co/g2mNgQufnM",Donald J. Trump,realDonaldTrump,Sat Oct 19 17:20:20 +0000 2019,0,4813,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,1,0,3
1185607384963661825,A Great Book by Kimberley Strassel! https://t.co/TOQcUDmnAR,Donald J. Trump,realDonaldTrump,Sat Oct 19 17:23:22 +0000 2019,28629,6896,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,1,0,0
1185610478325784577,.@RepMcClintock  Thank you Tom. Great interview on @TeamCavuto! @FoxNews,Donald J. Trump,realDonaldTrump,Sat Oct 19 17:35:40 +0000 2019,27089,5916,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,3
1185620868682174464,"I’ve sat through EVERY interview so far of this so called “impeachment inquiry” &amp; the President hasn’t done anything to possibly impeach him for. 

NOTHING.",Donald J. Trump,realDonaldTrump,Sat Oct 19 18:16:57 +0000 2019,0,25655,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,0,0,0
1185629411992887299,"It's no surprise that far-left Democrats like Alexandria Ocasio-Cortez and Illhan Omar support Senator Bernie Sanders for President.
 
Their agendas align: spend taxpayer dollars &amp; have the government take control over every aspect of American life.",Donald J. Trump,realDonaldTrump,Sat Oct 19 18:50:54 +0000 2019,0,8559,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,0,0,0
1185634349930205193,"NEW: US State Dept. has completed its internal investigation into former Sec. Clinton's use of private email and found violations by 38 people, some of whom may face disciplinary action. https://t.co/bupoW2DzGu",Donald J. Trump,realDonaldTrump,Sat Oct 19 19:10:31 +0000 2019,0,9315,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,1,0,0
1185635727645839363,"Just another FAKE SUPPRESSION POLL, this time from @FoxNews, of course! https://t.co/x8lYVE7QCo",Donald J. Trump,realDonaldTrump,Sat Oct 19 19:16:00 +0000 2019,34653,9700,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,1,0,1
1185637235284234240,Ahhhh good times. Happy third anniversary to one of the great comebacks of all time. https://t.co/KbSos1UApS,Donald J. Trump,realDonaldTrump,Sat Oct 19 19:21:59 +0000 2019,0,35500,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,Video,0,0,0
